SANGER_MODEL_ID,model_name,tissue,cancer_type,COSMIC_ID
SIDM00498,SNU-C5,Large Intestine,Colorectal Carcinoma,1674021
SIDM00539,ESO26,Esophagus,Esophageal Carcinoma,1503366
SIDM00534,HT-115,Large Intestine,Colorectal Carcinoma,907289
SIDM00334,MFE-296,Endometrium,Endometrial Carcinoma,908130
SIDM00431,MOLT-16,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,908147
SIDM00429,NALM-6,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,908158
SIDM00493,NCI-H292,Lung,Other Solid Cancers,753604
SIDM00459,OCI-LY7,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1659819
SIDM00373,SNG-M,Endometrium,Endometrial Carcinoma,909735
SIDM00819,RCC-FG2,Kidney,Kidney Carcinoma,1524414
SIDM00680,LS-180,Large Intestine,Colorectal Carcinoma,998189
SIDM00537,GP5d,Large Intestine,Colorectal Carcinoma,907291
SIDM00803,769-P,Kidney,Kidney Carcinoma,910922
SIDM00524,DMS-79,Lung,Small Cell Lung Carcinoma,753551
SIDM00789,HCT-15,Large Intestine,Colorectal Carcinoma,905937
SIDM00602,IM-95,Stomach,Gastric Carcinoma,1240155
SIDM00582,KP-2,Pancreas,Pancreatic Carcinoma,1298218
SIDM00660,LS-411N,Large Intestine,Colorectal Carcinoma,907794
SIDM00654,NCI-H1048,Lung,Small Cell Lung Carcinoma,687995
SIDM00754,NCI-H1781,Lung,Non-Small Cell Lung Carcinoma,1298350
SIDM00760,NCI-H1963,Lung,Small Cell Lung Carcinoma,688010
SIDM00703,NCI-H2110,Lung,Non-Small Cell Lung Carcinoma,1298351
SIDM00721,NCI-H250,Lung,Small Cell Lung Carcinoma,924241
SIDM00720,NCI-H28,Lung,Mesothelioma,908470
SIDM00778,NCI-H747,Large Intestine,Colorectal Carcinoma,908457
SIDM00572,NUGC-3,Stomach,Gastric Carcinoma,908455
SIDM00781,SNU-C2B,Large Intestine,Colorectal Carcinoma,909740
SIDM00770,NCI-H1836,Lung,Small Cell Lung Carcinoma,1240182
SIDM00629,MDA-MB-436,Breast,Breast Carcinoma,1240172
SIDM00608,KMS-11,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1659817
SIDM00641,NAMALWA,Haematopoietic and Lymphoid,Burkitt's Lymphoma,908159
SIDM00200,EW-12,Bone,Ewing's Sarcoma,949162
SIDM00535,H-EMC-SS,Bone,Chondrosarcoma,907290
SIDM00884,HCC1395,Breast,Breast Carcinoma,749712
SIDM00661,HT,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,907063
SIDM00845,Daudi,Haematopoietic and Lymphoid,Burkitt's Lymphoma,906831
SIDM00863,EB2,Haematopoietic and Lymphoid,Burkitt's Lymphoma,906846
SIDM00879,HCC1500,Breast,Breast Carcinoma,1303900
SIDM00878,HCC1569,Breast,Breast Carcinoma,907046
SIDM00808,JiyoyeP-2003,Haematopoietic and Lymphoid,Burkitt's Lymphoma,907268
SIDM00839,LoVo,Large Intestine,Colorectal Carcinoma,907790
SIDM00516,MZ7-mel,Skin,Melanoma,753596
SIDM00837,SW48,Large Intestine,Colorectal Carcinoma,909751
SIDM00901,AN3-CA,Endometrium,Endometrial Carcinoma,910781
SIDM00889,C-33-A,Cervix,Cervical Carcinoma,687505
SIDM00933,CAL-51,Breast,Breast Carcinoma,910927
SIDM00948,DG-75,Haematopoietic and Lymphoid,Burkitt's Lymphoma,906838
SIDM00947,DK-MG,Central Nervous System,Glioblastoma,906839
SIDM01051,EFO-27,Ovary,Ovarian Carcinoma,906852
SIDM01045,EN,Endometrium,Endometrial Carcinoma,1240127
SIDM01072,HCC-15,Lung,Squamous Cell Lung Carcinoma,1240143
SIDM01004,KCL-22,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,1330931
SIDM01129,NCI-H524,Lung,Small Cell Lung Carcinoma,908483
SIDM01128,NCI-H526,Lung,Small Cell Lung Carcinoma,688025
SIDM01146,SNU-1,Stomach,Gastric Carcinoma,908444
SIDM01203,NTERA-2-cl-D1,Testis,Other Solid Cancers,908454
SIDM01136,PANC-08-13,Pancreas,Pancreatic Carcinoma,925347
SIDM01090,RKO,Large Intestine,Colorectal Carcinoma,909698
SIDM01088,RL95-2,Endometrium,Endometrial Carcinoma,930082
SIDM01086,RS4-11,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,909703
SIDM01112,SJSA-1,Bone,Osteosarcoma,909717
SIDM01113,SK-UT-1,Uterus,Other Sarcomas,909732
SIDM00971,ZR-75-30,Breast,Breast Carcinoma,909907
SIDM01245,BE-13,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,906763
SIDM01237,C3A,Liver,Hepatocellular Carcinoma,910850
SIDM01248,CGTH-W-1,Thyroid,Thyroid Gland Carcinoma,910568
SIDM00592,HO-1-N-1,Head and Neck,Oral Cavity Carcinoma,924111
SIDM01206,IMR-5,Peripheral Nervous System,Neuroblastoma,907170
SIDM01247,Ramos-2G6-4C10,Haematopoietic and Lymphoid,Burkitt's Lymphoma,910401
SIDM01205,TUR,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,909773
SIDM00900,ARH-77,Haematopoietic and Lymphoid,Non-Cancerous,906765
SIDM01233,C2BBe1,Large Intestine,Colorectal Carcinoma,910700
SIDM01259,GR-ST,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,906877
SIDM01251,H9,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,907043
SIDM00632,IM-9,Haematopoietic and Lymphoid,Non-Cancerous,753563
SIDM00224,IST-MES1,Lung,Mesothelioma,907173
SIDM01246,MC-IXC,Bone,Ewing's Sarcoma,908118
SIDM01242,MMAc-SF,Skin,Melanoma,925339
SIDM01164,SW1783,Central Nervous System,Glioma,909750
SIDM00613,KALS-1,Central Nervous System,Glioblastoma,907271
SIDM00344,LCLC-97TM1,Lung,Non-Small Cell Lung Carcinoma,946361
SIDM01135,PANC-10-05,Pancreas,Pancreatic Carcinoma,925348
SIDM00921,Calu-6,Lung,Non-Small Cell Lung Carcinoma,724859
SIDM00541,HT55,Large Intestine,Colorectal Carcinoma,907287
SIDM01159,SW872,Soft Tissue,Other Sarcomas,909756
SIDM00406,SU-DHL-5,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331036
SIDM00256,NB14,Peripheral Nervous System,Neuroblastoma,949178
SIDM00511,COR-L279,Lung,Small Cell Lung Carcinoma,910937
SIDM00664,Hs-766T,Pancreas,Pancreatic Carcinoma,1298141
SIDM00215,SNU-283,Large Intestine,Colorectal Carcinoma,1659929
SIDM00955,COLO-783,Skin,Melanoma,1240125
SIDM00922,Calu-3,Lung,Non-Small Cell Lung Carcinoma,687777
SIDM01068,HCC-78,Lung,Non-Small Cell Lung Carcinoma,1290908
SIDM01039,JAR,Placenta,Other Solid Cancers,907175
SIDM00148,MCF7,Breast,Breast Carcinoma,905946
SIDM01265,MM1S,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1659818
SIDM00091,OVCAR-5,Ovary,Ovarian Carcinoma,905969
SIDM01137,PANC-04-03,Pancreas,Pancreatic Carcinoma,1298476
SIDM00321,TYK-nu,Ovary,Ovarian Carcinoma,909774
SIDM00633,MDA-MB-175-VII,Breast,Breast Carcinoma,908120
SIDM00434,MOLP-8,Haematopoietic and Lymphoid,Plasma Cell Myeloma,1330950
SIDM00958,CML-T1,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,910951
SIDM00859,Farage,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1297449
SIDM00783,HCT-116,Large Intestine,Colorectal Carcinoma,905936
SIDM00588,HSC-4,Head and Neck,Oral Cavity Carcinoma,907062
SIDM00663,Hs-939-T,Skin,Melanoma,1298144
SIDM00713,NCI-H2052,Lung,Mesothelioma,688058
SIDM00557,KP-N-RT-BM-1,Peripheral Nervous System,Neuroblastoma,924189
SIDM00355,RERF-LC-MS,Lung,Non-Small Cell Lung Carcinoma,910931
SIDM00697,NCI-H1436,Lung,Small Cell Lung Carcinoma,908469
SIDM00618,JHH-1,Liver,Hepatocellular Carcinoma,1298151
SIDM00550,KYSE-50,Esophagus,Esophageal Squamous Cell Carcinoma,1298222
SIDM00762,NCI-H1944,Lung,Non-Small Cell Lung Carcinoma,1240185
SIDM01169,TOV-21G,Ovary,Ovarian Carcinoma,1240222
SIDM00343,LN-405,Central Nervous System,Glioblastoma,910694
SIDM00614,JHH-7,Liver,Hepatocellular Carcinoma,1240160
SIDM00499,22RV1,Prostate,Prostate Carcinoma,924100
SIDM01016,Jurkat,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,998184
SIDM01010,KARPAS-299,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,907273
SIDM00687,KATOIII,Stomach,Gastric Carcinoma,907276
SIDM00603,KOSC-2,Head and Neck,Head and Neck Carcinoma,753570
SIDM00683,LNCaP-Clone-FGC,Prostate,Prostate Carcinoma,907788
SIDM00293,LU-139,Lung,Small Cell Lung Carcinoma,713878
SIDM00003,M14,Skin,Melanoma,905975
SIDM00437,MOLM-13,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1330947
SIDM00425,OVTOKO,Ovary,Ovarian Carcinoma,1298365
SIDM01156,SW1271,Lung,Small Cell Lung Carcinoma,1299062
SIDM00435,MOLM-16,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1330948
SIDM01023,MONO-MAC-6,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,908148
SIDM00253,NB6,Peripheral Nervous System,Neuroblastoma,949173
SIDM00758,NCI-H1993,Lung,Non-Small Cell Lung Carcinoma,908476
SIDM00702,NCI-H2122,Lung,Non-Small Cell Lung Carcinoma,722046
SIDM00700,NCI-H2135,Lung,Non-Small Cell Lung Carcinoma,1298352
SIDM00144,NCI-H460,Lung,Non-Small Cell Lung Carcinoma,905943
SIDM00444,OACM5-1,Esophagus,Esophageal Carcinoma,1503363
SIDM00220,OC-314,Ovary,Ovarian Carcinoma,909257
SIDM00092,OVCAR-4,Ovary,Ovarian Carcinoma,905990
SIDM01114,PWR-1E,Prostate,Non-Cancerous,1330993
SIDM00449,RCH-ACV,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,1330994
SIDM00426,RH-41,Soft Tissue,Rhabdomyosarcoma,1240210
SIDM00813,RPMI-6666,Haematopoietic and Lymphoid,Non-Cancerous,909701
SIDM00382,SF126,Central Nervous System,Glioblastoma,909712
SIDM01199,SNU-423,Liver,Hepatocellular Carcinoma,909737
SIDM00832,SW948,Large Intestine,Colorectal Carcinoma,909757
SIDM00249,TE-15,Esophagus,Esophageal Squamous Cell Carcinoma,753614
SIDM01191,U-2-OS,Bone,Osteosarcoma,909776
SIDM00417,U-266,Haematopoietic and Lymphoid,Plasma Cell Myeloma,753615
SIDM01102,WIL2-NS,Haematopoietic and Lymphoid,Non-Cancerous,1331049
SIDM00124,A498,Kidney,Kidney Carcinoma,905948
SIDM00129,G-MEL,Skin,Melanoma,1240130
SIDM00211,ALL-PO,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,910944
SIDM00258,NB12,Peripheral Nervous System,Neuroblastoma,949172
SIDM00345,LCLC-103H,Lung,Non-Small Cell Lung Carcinoma,753586
SIDM00368,SBC-5,Lung,Small Cell Lung Carcinoma,713880
SIDM00480,OAW-42,Ovary,Ovarian Carcinoma,910548
SIDM00482,RPMI-8866,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,910544
SIDM00376,MHH-CALL-4,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,908133
SIDM00655,NCCIT,Testis,Other Solid Cancers,908441
SIDM01123,NCI-H660,Prostate,Prostate Carcinoma,1330975
SIDM00684,LN-229,Central Nervous System,Glioblastoma,1240169
SIDM00795,A375,Skin,Melanoma,906793
SIDM00777,NCI-H508,Large Intestine,Colorectal Carcinoma,908442
SIDM00846,HeLa,Cervix,Cervical Carcinoma,1298134
SIDM00938,CAL-148,Breast,Breast Carcinoma,924106
SIDM01002,EFM-192A,Breast,Breast Carcinoma,1290798
SIDM01087,RPMI-7951,Skin,Melanoma,910903
SIDM00210,A2780,Ovary,Ovarian Carcinoma,906804
SIDM00388,MHH-PREB-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,908136
SIDM00404,SU-DHL-16,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331034
SIDM00412,WSU-NHL,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,909785
SIDM00568,OCUM-1,Stomach,Gastric Carcinoma,1298358
SIDM00244,NB69,Peripheral Nervous System,Neuroblastoma,908440
SIDM00737,NCI-H1770,Lung,Non-Small Cell Lung Carcinoma,687804
SIDM00363,P31-FUJ,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,909253
SIDM00096,SR,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,905965
SIDM00821,RCC-AB,Kidney,Kidney Carcinoma,1524418
SIDM00985,BL-41,Haematopoietic and Lymphoid,Burkitt's Lymphoma,910706
SIDM00509,COR-L311,Lung,Small Cell Lung Carcinoma,687980
SIDM00672,Hep3B2-1-7,Liver,Hepatocellular Carcinoma,1240147
SIDM01029,KYSE-270,Esophagus,Esophageal Squamous Cell Carcinoma,907319
SIDM00331,MHH-CALL-2,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,908132
SIDM00407,SU-DHL-6,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331037
